DC26 HHV RE Challenge BOM,,,,,,,,,,,
,,,,,,,,,,,
Part,Value,Device,Package,Description,MF,MPN,Digikey PN,Digikey link,,,
BT1,,Batter Holder,,RETAINER BATT CR2025/2032 PC PIN,Linx Technologies Inc,BAT-HLD-001-THM,BAT-HLD-001-THM-ND,https://www.digikey.com/product-detail/en/linx-technologies-inc/BAT-HLD-001-THM/BAT-HLD-001-THM-ND/3044009,,,
C1,0.1uF,Capacitor,603,CAP CER 0.1UF 25V X5R 0603,Samsung Electro-Mechanics,CL10A104KA8NNNC,1276-1857-1-ND,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL10A104KA8NNNC/1276-1857-1-ND/3889943,,,
D1,Green,LED5MM,LED_5MM,LED GREEN DIFFUSED 5MM ROUND T/H,Marktech Optoelectronics,MT2118-G-A,1125-1184-ND,https://www.digikey.com/product-detail/en/marktech-optoelectronics/MT2118-G-A/1125-1184-ND/4214619,,,
D2,Green,LED5MM,LED_5MM,LED GREEN DIFFUSED 5MM ROUND T/H,,,,,,,
D3,Red,LED5MM,LED_5MM,LED RED CLEAR 5MM ROUND T/H,Cree Inc.,C503B-RAN-CZ0C0AA2,C503B-RAN-CZ0C0AA2CT-ND,https://www.digikey.com/product-detail/en/cree-inc/C503B-RAN-CZ0C0AA2/C503B-RAN-CZ0C0AA2CT-ND/6561767,,,
IC1,,24LC256P,DIL8,IC EEPROM 256K I2C 400KHZ 8DIP,Microchip Technologies,24LC256-I/P,24LC256-I/P-ND,https://www.digikey.com/product-detail/en/microchip-technology/24LC256-I-P/24LC256-I-P-ND/273431,,,
R1,75,Resistor,805,RES SMD 75 OHM 5% 1/10W 0603,Vishay Dale,CRCW060375R0JNEA,541-75GCT-ND,https://www.digikey.com/product-detail/en/vishay-dale/CRCW060375R0JNEA/541-75GCT-ND/1179342,,,
R2,75,Resistor,805,RES SMD 75 OHM 5% 1/10W 0603,,,,,,,
R3,75,Resistor,805,RES SMD 75 OHM 5% 1/10W 0603,,,,,,,
R10,1k,Resistor,805,RES SMD 1K OHM 5% 1/8W 0805,Vishay Dale,CRCW08051K00JNEAC,541-4162-1-ND,https://www.digikey.com/product-detail/en/vishay-dale/CRCW08051K00JNEAC/541-4162-1-ND/7928845,,,
R6,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,Stackpole Electronics Inc.,CF14JT10K0,CF14JT10K0CT-ND,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10K0/CF14JT10K0CT-ND/1830374,,,
R7,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,,,,,,,
R8,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,,,,,,,
R9,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,,,,,,,
R11,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,,,,,,,
R12,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,,,,,,,
R13,10K,Resistor,AXIAL-0.3,RES 10K OHM 1/4W 5% AXIAL,,,,, ,, 
S1,,SPST Momentary Switch,TACTILE_SWITCH_PTH_6.0MM,SWITCH TACTILE SPST-NO 0.05A 12V,APEM Inc,MJTP1230,679-2428-ND,https://www.digikey.com/product-detail/en/apem-inc/MJTP1230/679-2428-ND/1798037,,,
S2,,SPST Momentary Switch,TACTILE_SWITCH_PTH_6.0MM,SWITCH TACTILE SPST-NO 0.05A 12V,,,,,,,
S3,,SPST Momentary Switch,TACTILE_SWITCH_PTH_6.0MM,SWITCH TACTILE SPST-NO 0.05A 12V,,,,,,,
S4,,SPST Momentary Switch,TACTILE_SWITCH_PTH_6.0MM,SWITCH TACTILE SPST-NO 0.05A 12V,,,,,,,
U$1,,ATTINY84-20PU,DIP14,IC MCU 8BIT 8KB FLASH 14DIP,Microchip Technologies,ATTINY84A-PU,ATTINY84A-PU-ND,https://www.digikey.com/product-detail/en/microchip-technology/ATTINY84A-PU/ATTINY84A-PU-ND/2774082,,,
,,,,,,,,,,,
Battery,,,"Coin, 20mm",BATTERY LITHIUM 3V COIN 20MM,Panasonic - BSG,CR2032,P189-ND,https://www.digikey.com/product-detail/en/panasonic-bsg/CR2032/P189-ND/31939,,,
